id_bien,type_voie,VOIE ,surface_carrez,type_local,surface_reel,nb_pieces,id_codedep_codecommune
284,RUE,DE GEX,"82,59",Appartement,75,3,1160
285,RUE,DE L'ABBE JOLIVET,"109,22",Maison,109,5,1288
286,RUE,DES MONGES,"144,6",Appartement,120,4,4070
287,RUE,NOTRE-DAME,"31,21",Appartement,32,2,6029
288,AV,DU TROIS SEPTEMBRE,"24,58",Appartement,24,1,6032
289,AV,GASTON DE FONTMICHEL,"36,6",Appartement,36,2,6079
290,AV,DE SOSPEL,29,Appartement,29,1,6083
291,PROM,DU SOLEIL,"54,34",Appartement,57,2,6083
292,RUE,GOUNOD,"32,83",Appartement,33,2,6088
293,BD,CIMIEZ,"133,44",Appartement,144,4,6088
294,,LES FEUILLATES,"63,58",Appartement,63,3,10325
295,RUE,DE LA COOPERATIVE,"50,75",Appartement,50,3,10343
296,AV,GEN GALLIENI,"47,88",Appartement,48,2,10362
297,RUE,NVE DE LA REPUBLIQUE,"68,03",Appartement,66,3,10362
298,RES,GRUISSAN PORT,"23,89",Appartement,25,3,11170
299,PL,DE LA BONANCE,"22,15",Appartement,28,2,11170
300,RUE,DE LA BIBLIOTHEQUE,"82,72",Appartement,84,5,13005
301,RUE,DOCT SEVERIN ICARD,"36,8",Appartement,37,3,13022
302,RUE,ANTOINE PIRRODI,"29,29",Appartement,30,1,13028
303,BD,DE LAVAUX,"115,53",Appartement,114,4,13028
304,CHEM,DU COULET,"92,99",Maison,61,3,13101
305,BD,CHAVE,"64,45",Appartement,63,3,13205
306,BD,BOMPARD,"24,89",Appartement,40,3,13207
307,RUE,CAPITAINE DESSEMOND,"22,71",Appartement,22,1,13207
308,RUE,ROCCA,"85,37",Appartement,86,4,13208
309,RES,LE LANCIER,"31,28",Appartement,32,1,13209
310,BD,MIREILLE LAUZE,"112,09",Appartement,111,5,13210
311,AV,ROGER DELIENCOURT,"41,78",Appartement,43,2,14220
312,AV,DE LA REPUBLIQUE,"47,05",Appartement,46,2,14754
313,RUE,JEAN JACQUES ROUSSEAU,"77,87",Appartement,78,3,18033
314,RUE,D ESPAGNAC,"70,19",Appartement,71,3,19031
315,PL,DU GUESCLIN,"168,7",Appartement,123,4,22278
316,,SUVERA TORTA,"32,16",Maison,32,2,2A362
317,CHE,NEUF,"82,11",Maison,84,4,30106
318,RUE,DE BRUNSWICK,"36,29",Appartement,40,1,30189
319,IMP,DES LUPINS,"65,24",Appartement,65,3,30189
320,RUE,DEMOISELLES DE GASCOGNE,"36,46",Appartement,38,2,31203
321,BD,PIERRE CURIE,"60,16",Appartement,65,3,31555
322,RUE,ARISTIDE DE SOUSA-MENDES,"56,67",Appartement,59,3,33039
323,RTE,DE TOULOUSE,"50,16",Appartement,50,2,33039
324,RUE,DE PESSAC,"26,39",Appartement,26,1,33063
325,RUE,ANDRE LEROUX,"35,8",Appartement,35,2,33514
326,AV,VIEILLE TOUR,"20,15",Appartement,19,1,33522
327,RTE,DE LA GARONNE,"62,55",Appartement,65,2,33533
328,ALL,DE LA FLANERIE,"23,7",Appartement,23,1,34003
329,RUE,FRANCOISE GIROUD,"44,14",Appartement,43,2,34079
330,AV,GAL DE GAULLE,"59,19",Appartement,72,3,34157
331,RES,PORT VAUBAN,"62,66",Appartement,71,3,34301
332,AV,CHARLES LE GOFFIC,"56,15",Appartement,61,3,35210
333,RUE,DUGUESCLIN,"16,54",Appartement,17,1,35238
334,RUE,JEAN LURCAT,"65,52",Appartement,66,3,37261
335,CRS,JEAN JAURES,31,Appartement,31,2,38185
336,AV,DE VALMY,"61,23",Appartement,62,3,38185
337,RUE,ELISEE CHATIN,"76,75",Appartement,73,3,38185
338,RES,LES TERRASSES DE L ALPE I,"16,3",Appartement,17,1,38191
339,RUE,FRANZ LISZT,"60,73",Appartement,61,4,38421
340,RUE,SIMONE DE BEAUVOIR,"81,25",Appartement,81,4,38421
341,PL,DE LA VICTOIRE,"97,41",Maison,101,5,39526
342,RUE,DES SERRES,"85,32",Appartement,78,4,40088
343,CHE,DE LAREIGNE,"45,94",Appartement,46,2,40281
344,AV,DE LA GARE,"53,22",Maison,50,3,40284
345,ALL,HELENE ET JACQUES SOLOMON,"65,26",Appartement,65,3,40312
346,PL,ALEXANDRE VIRO,"91,43",Appartement,90,4,40312
347,RTE,DE L ETANG,"74,39",Maison,74,4,40317
348,RUE,DU TREYVE,"90,2",Appartement,66,3,42005
349,RUE,JOANNY AUGE,"76,75",Appartement,77,3,42187
350,RUE,BERCHOUX,"41,31",Appartement,42,2,42187
351,RUE,DES ECOLIERS,"61,37",Appartement,59,2,42187
352,RUE,DU MOULIN A VENT PROLONGE,"75,95",Appartement,70,4,42332
